1172220,343709,-6871,0.56,105,30,90
1172085,343374,-6852,0.1,90,85,-25
1171996,343462,-6769,0.67,255,60,50
1172281,343845,-6774,0.19,260,65,50
1170899,343320,-6385,0.45,289,78,-144
1170939,343130,-6350,-0.05,201,64,-46
1170926,343145,-6366,0.37,285,75,-160
1170880,343112,-6369,0.58,280,80,-165
1170914,343186,-6384,0.23,277,65,-174
1170808,343198,-6473,0.02,220,60,15
1173041,338552,-6349,-0.02,76,71,66
1169103,342638,-6344,0.42,225,90,-175
1173000,338689,-6367,0.15,90,71,16
1173819,336063,-6377,0.21,45,60,95
1175951,341263,-6847,0.16,45,85,0
1175937,341216,-6901,0.08,106,57,77
1175918,341152,-6844,-0.05,76,85,15
1175958,341099,-6797,0.15,45,85,-5
1175961,341214,-6970,0.78,78,81,20
1175970,341135,-6877,0,245,85,5
1175994,341134,-6932,-0.11,106,52,63
1176050,341185,-6721,0.86,250,90,-15
1175953,341333,-6884,-0.03,95,65,35
1176023,341278,-6723,0.14,80,85,15
1175898,341229,-6876,0.23,75,90,25
1176267,342370,-6399,0.12,258,85,-20
1175985,341542,-6878,0.46,45,85,0
1175968,341561,-6872,-0.2,270,80,15
1176001,341570,-6833,0.06,80,85,20
1175978,341520,-6917,0.19,45,90,-5
1175980,341566,-6848,0.06,50,90,0
1175989,341477,-6968,0.46,75,90,20
1176007,341522,-6830,0.14,85,90,25
1176044,341485,-6886,-0.05,225,35,70
1175987,341550,-6812,0.2,250,85,-20
1175973,341570,-6970,0.89,255,90,-20
1176005,341548,-6814,0.23,225,90,5
1175982,341417,-6964,-0.6,95,60,50
1176003,341610,-6888,-0.48,235,75,0
1176071,341482,-6886,-1.04,225,90,5
1175994,341365,-6952,-0.05,270,20,120
1175991,341390,-6939,-0.21,265,90,-10
1175995,341367,-6942,-0.47,55,85,10
1176002,341314,-6948,-0.4,231,80,5
1175971,341303,-6930,0.33,260,75,0
1176006,341609,-6829,-0.29,95,70,15
1176033,341307,-6968,-0.55,90,67,44
1171399,343534,-6298,0.16,265,75,10
1169327,342235,-6353,0.06,78,28,47
1175940,341767,-6799,-0.7,100,90,25
