Center Coordinates,,,Normal Vector,,,Strike,Dip,Rake
341241.68,1175859.16,-6926.89,0.97,0.26,0.00,75.00,90.00,25.00
341301.57,1175906.24,-6980.90,-0.95,-0.17,0.26,260.00,75.00,0.00
341404.83,1175976.28,-7025.83,0.86,-0.08,0.50,95.00,60.00,50.00
341208.83,1175939.01,-7013.16,0.97,0.21,0.16,78.00,81.00,20.00
341319.90,1175983.00,-6983.60,-0.77,-0.62,0.17,231.00,80.00,5.00
341298.91,1176037.14,-7045.03,0.92,0.00,0.39,90.00,67.00,44.00
341076.57,1175963.43,-6786.14,0.70,0.70,0.09,45.00,85.00,-5.00
341127.82,1175883.36,-6859.00,0.97,0.24,0.09,76.00,85.00,15.00
341210.64,1175935.43,-6926.93,0.81,-0.23,0.54,106.00,57.00,77.00
341346.42,1175899.00,-6877.25,0.90,-0.08,0.42,95.00,65.00,35.00
341100.57,1175960.02,-6973.33,0.76,-0.22,0.62,106.00,52.00,63.00
341355.48,1175980.00,-7020.24,-0.34,0.00,0.94,270.00,20.00,120.00
341108.67,1175957.25,-6887.67,-0.90,-0.42,0.09,245.00,85.00,5.00
341469.86,1176018.29,-7002.36,0.97,0.26,0.00,75.00,90.00,20.00
341119.29,1176038.71,-6665.29,-0.94,-0.34,0.00,250.00,90.00,-15.00
335464.58,1172748.80,-7250.25,0.61,0.61,0.50,45.00,60.00,95.00
335589.48,1173241.11,-6429.86,0.61,0.61,0.50,45.00,60.00,95.00
339630.39,1173311.01,-6700.40,0.95,0.00,0.33,90.00,71.00,16.00
338541.31,1173154.77,-6713.54,0.92,0.23,0.33,76.00,71.00,66.00
343413.12,1172003.32,-6634.80,-0.84,-0.22,0.50,255.00,60.00,50.00
343806.72,1172393.30,-6674.73,-0.89,-0.16,0.42,260.00,65.00,50.00
343325.12,1172136.26,-6756.81,1.00,0.00,0.09,90.00,85.00,-25.00
343638.88,1172244.72,-6818.02,0.48,-0.13,0.87,105.00,30.00,90.00
344053.70,1170747.08,-6895.80,-0.92,0.32,0.21,289.00,78.00,-144.00
344208.55,1171838.63,-6615.93,-0.89,-0.16,0.42,260.00,65.00,50.00
344178.51,1171355.93,-6633.18,-0.96,-0.08,0.26,265.00,75.00,10.00
343844.40,1171756.00,-6619.00,-0.84,-0.22,0.50,255.00,60.00,50.00
341464.76,1171161.73,-6653.09,-0.97,0.17,0.17,280.00,80.00,-165.00
342031.49,1171082.47,-6514.80,-0.97,0.17,0.17,280.00,80.00,-165.00
342377.73,1170713.55,-6488.78,-0.97,0.17,0.17,280.00,80.00,-165.00
343020.44,1170795.70,-6371.89,-0.97,0.17,0.17,280.00,80.00,-165.00
343173.54,1170767.59,-6576.59,-0.56,-0.66,0.50,220.00,60.00,15.00
343120.64,1170970.00,-6332.27,-0.32,-0.84,0.44,201.00,64.00,-46.00
343338.07,1170894.60,-6451.73,-0.92,0.32,0.21,289.00,78.00,-144.00
343188.25,1170917.50,-6413.08,-0.90,0.11,0.42,277.00,65.00,-174.00
343150.20,1170930.00,-6374.80,-0.93,0.25,0.26,285.00,75.00,-160.00
343735.14,1170437.57,-6539.71,-0.92,0.32,0.21,289.00,78.00,-144.00
343576.50,1170276.46,-6633.00,-0.56,-0.66,0.50,220.00,60.00,15.00
341932.72,1170967.44,-6609.89,-0.97,0.17,0.17,280.00,80.00,-165.00
341989.64,1170925.86,-6598.29,-0.97,0.17,0.17,280.00,80.00,-165.00
344378.96,1167249.48,-6394.57,-0.71,-0.71,0.00,225.00,90.00,-175.00
344651.79,1168821.64,-6652.67,-0.71,-0.71,0.00,225.00,90.00,-175.00
344813.42,1169486.74,-6680.79,-0.92,0.32,0.21,289.00,78.00,-144.00
340607.20,1169913.05,-6469.26,0.46,0.10,0.88,78.00,28.00,47.00
340178.77,1168143.03,-6347.89,0.46,0.10,0.88,78.00,28.00,47.00
342242.21,1172714.63,-6633.30,1.00,0.00,0.09,90.00,85.00,-25.00
