Center Coordinates,,,Normal Vector,,,Strike,Dip,Rake,Fault Length [ft],Fault Width [ft]
341241.68,1175859.16,-6926.89,0.97,0.26,0,75,90,25,196.4535569,196.4535569
341301.57,1175906.24,-6980.9,-0.95,-0.17,0.26,260,75,0,150.4526504,134.4172608
341404.83,1175976.28,-7025.83,0.86,-0.08,0.5,95,60,50,318.6534167,188.4489321
341208.83,1175939.01,-7013.16,0.97,0.21,0.16,78,81,20,145.220522,133.6375696
341319.9,1175983,-6983.6,-0.77,-0.62,0.17,231,80,5,114.6908889,188.2471779
341298.91,1176037.14,-7045.03,0.92,0,0.39,90,67,44,168.4339633,192.5772572
341076.57,1175963.43,-6786.14,0.7,0.7,0.09,45,85,-5,333.8098261,434.2395652
341127.82,1175883.36,-6859,0.97,0.24,0.09,76,85,15,194.4273643,218.7372853
341210.64,1175935.43,-6926.93,0.81,-0.23,0.54,106,57,77,289.9948275,241.5740052
341346.42,1175899,-6877.25,0.9,-0.08,0.42,95,65,35,105.7402478,105.7402478
341100.57,1175960.02,-6973.33,0.76,-0.22,0.62,106,52,63,233.5358645,233.5358645
341355.48,1175980,-7020.24,-0.34,0,0.94,270,20,120,191.4732357,157.133701
341108.67,1175957.25,-6887.67,-0.9,-0.42,0.09,245,85,5,134.0820644,277.7354857
341469.86,1176018.29,-7002.36,0.97,0.26,0,75,90,20,140.9006742,140.9006742
341119.29,1176038.71,-6665.29,-0.94,-0.34,0,250,90,-15,120.0874681,120.1124473
335464.58,1172748.8,-7250.25,0.61,0.61,0.5,45,60,95,1247.08019,671.3642826
335589.48,1173241.11,-6429.86,0.61,0.61,0.5,45,60,95,1258.788703,1716.787989
339630.39,1173311.01,-6700.4,0.95,0,0.33,90,71,16,1156.032439,1642.469482
338541.31,1173154.77,-6713.54,0.92,0.23,0.33,76,71,66,839.7582986,779.157237
343413.12,1172003.32,-6634.8,-0.84,-0.22,0.5,255,60,50,585.2520824,558.1263298
343806.72,1172393.3,-6674.73,-0.89,-0.16,0.42,260,65,50,885.9396142,554.6250986
343325.12,1172136.26,-6756.81,1,0,0.09,90,85,-25,758.2466617,736.4577381
343638.88,1172244.72,-6818.02,0.48,-0.13,0.87,105,30,90,634.9527541,581.586623
344053.7,1170747.08,-6895.8,-0.92,0.32,0.21,289,78,-144,712.2190674,887.3770337
344208.55,1171838.63,-6615.93,-0.89,-0.16,0.42,260,65,50,704.4529793,674.2966706
344178.51,1171355.93,-6633.18,-0.96,-0.08,0.26,265,75,10,1078.855412,514.0087548
343844.4,1171756,-6619,-0.84,-0.22,0.5,255,60,50,193.0932417,123.3612581
341464.76,1171161.73,-6653.09,-0.97,0.17,0.17,280,80,-165,496.3154239,451.9612815
342031.49,1171082.47,-6514.8,-0.97,0.17,0.17,280,80,-165,540.166641,517.4533795
342377.73,1170713.55,-6488.78,-0.97,0.17,0.17,280,80,-165,859.1129146,776.4850288
343020.44,1170795.7,-6371.89,-0.97,0.17,0.17,280,80,-165,380.8227934,300.4080558
343173.54,1170767.59,-6576.59,-0.56,-0.66,0.5,220,60,15,546.3680078,500.4338118
343120.64,1170970,-6332.27,-0.32,-0.84,0.44,201,64,-46,110.186206,124.1974235
343338.07,1170894.6,-6451.73,-0.92,0.32,0.21,289,78,-144,271.0627234,298.3253258
343188.25,1170917.5,-6413.08,-0.9,0.11,0.42,277,65,-174,190.7747363,190.7747363
343150.2,1170930,-6374.8,-0.93,0.25,0.26,285,75,-160,131.487642,137.047437
343735.14,1170437.57,-6539.71,-0.92,0.32,0.21,289,78,-144,282.6057324,126.3091446
343576.5,1170276.46,-6633,-0.56,-0.66,0.5,220,60,15,382.691782,382.724444
341932.72,1170967.44,-6609.89,-0.97,0.17,0.17,280,80,-165,251.003984,199.1632496
341989.64,1170925.86,-6598.29,-0.97,0.17,0.17,280,80,-165,289.3648216,220.8551562
344378.96,1167249.48,-6394.57,-0.71,-0.71,0,225,90,-175,620.0064516,367.8994428
344651.79,1168821.64,-6652.67,-0.71,-0.71,0,225,90,-175,1077.456728,1046.13957
344813.42,1169486.74,-6680.79,-0.92,0.32,0.21,289,78,-144,425.2399323,549.7226573
340607.2,1169913.05,-6469.26,0.46,0.1,0.88,78,28,47,522.9493283,568.146108
340178.77,1168143.03,-6347.89,0.46,0.1,0.88,78,28,47,1572.844875,1431.913405
342242.21,1172714.63,-6633.3,1,0,0.09,90,85,-25,2368.267299,1486.283957
